fipscode,last,party,votepct
05039,Gammon,Ind,0.00302
05039,Collins,Ind,0.00302
05039,De La Fuente,Ind,0.001888
05039,Carroll,ASP,0.001133
05039,Hawkins,Grn,0.001133
05041,Trump,GOP,0.461335
05041,Biden,Dem,0.48415
05041,Pierce,Ind,0.009606
05041,La Riva,PSL,0.008886
05041,Myers,Oth,0.008405
05041,De La Fuente,Ind,0.007925
05041,West,Ind,0.005764
05041,Jorgensen,Lib,0.004323
05041,Blankenship,CST,0.002402
05041,Hawkins,Grn,0.002402
05041,Collins,Ind,0.002402
05041,Carroll,ASP,0.001201
05041,Gammon,Ind,0.001201
05043,Trump,GOP,0.62956
05043,Biden,Dem,0.351187
05043,West,Ind,0.005501
05043,Jorgensen,Lib,0.003909
05043,Hawkins,Grn,0.00304
05043,Collins,Ind,0.002027
05043,Pierce,Ind,0.001448
05043,Myers,Oth,0.001158
05043,Carroll,ASP,0.000869
05043,La Riva,PSL,0.000579
05043,De La Fuente,Ind,0.000434
05043,Blankenship,CST,0.00029
05043,Gammon,Ind,0.0
05045,Trump,GOP,0.632413
05045,Biden,Dem,0.337088
05045,Jorgensen,Lib,0.015433
05045,West,Ind,0.003472
05045,Hawkins,Grn,0.002921
05045,Carroll,ASP,0.001672
05045,Collins,Ind,0.001433
05045,Myers,Oth,0.001231
05045,La Riva,PSL,0.001121
05045,De La Fuente,Ind,0.001029
05045,Blankenship,CST,0.000974
05045,Pierce,Ind,0.000937
05045,Gammon,Ind,0.000276
05047,Trump,GOP,0.796325
05047,Biden,Dem,0.182354
05047,Jorgensen,Lib,0.009398
05047,Collins,Ind,0.002385
05047,Carroll,ASP,0.002104
05047,Blankenship,CST,0.001543
05047,West,Ind,0.001543
05047,De La Fuente,Ind,0.001403
05047,Hawkins,Grn,0.001262
05047,Pierce,Ind,0.000701
05047,Gammon,Ind,0.000561
05047,Myers,Oth,0.000421
05047,La Riva,PSL,0.0
05049,Trump,GOP,0.773784
05049,Biden,Dem,0.202188
05049,Jorgensen,Lib,0.007423
05049,Pierce,Ind,0.005665
05049,Blankenship,CST,0.002735
05049,Collins,Ind,0.001954
05049,West,Ind,0.001758
05049,De La Fuente,Ind,0.001367
05049,La Riva,PSL,0.000977
05049,Hawkins,Grn,0.000781
05049,Myers,Oth,0.000781
05049,Gammon,Ind,0.000391
05049,Carroll,ASP,0.000195
05051,Trump,GOP,0.657685
05051,Biden,Dem,0.317767
05051,Jorgensen,Lib,0.008959
05051,Blankenship,CST,0.0031
05051,Hawkins,Grn,0.002308
05051,Pierce,Ind,0.001991
05051,West,Ind,0.001991
05051,Gammon,Ind,0.001652
05051,Collins,Ind,0.001448
05051,Carroll,ASP,0.001154
05051,Myers,Oth,0.000701
05051,La Riva,PSL,0.000633
05051,De La Fuente,Ind,0.000611
05053,Trump,GOP,0.828537
05053,Biden,Dem,0.154634
05053,Jorgensen,Lib,0.006829
05053,Myers,Oth,0.001585
05053,Collins,Ind,0.001341
05053,De La Fuente,Ind,0.00122
05053,Gammon,Ind,0.001098
05053,West,Ind,0.001098
05053,Hawkins,Grn,0.000976
05053,Pierce,Ind,0.000854
05053,Carroll,ASP,0.000732
05053,Blankenship,CST,0.000732
05053,La Riva,PSL,0.000366
05055,Trump,GOP,0.786957
05055,Biden,Dem,0.189938
05055,Jorgensen,Lib,0.011677
05055,West,Ind,0.002671
05055,Collins,Ind,0.002236
05055,Hawkins,Grn,0.00205
05055,Pierce,Ind,0.001056
05055,Gammon,Ind,0.000994
05055,Carroll,ASP,0.000559
05055,Blankenship,CST,0.000559
05055,De La Fuente,Ind,0.000497
05055,Myers,Oth,0.000435
05055,La Riva,PSL,0.000373
05057,Trump,GOP,0.652745
05057,Biden,Dem,0.312208
05057,West,Ind,0.00847
05057,Jorgensen,Lib,0.004527
05057,Pierce,Ind,0.004089
05057,Gammon,Ind,0.003651
05057,Hawkins,Grn,0.003505
05057,Myers,Oth,0.003213
05057,Collins,Ind,0.002775
05057,De La Fuente,Ind,0.002629
05057,Blankenship,CST,0.000876
05057,Carroll,ASP,0.00073
05057,La Riva,PSL,0.000584
05059,Trump,GOP,0.732818
05059,Biden,Dem,0.245441
05059,Jorgensen,Lib,0.007406
05059,West,Ind,0.003026
05059,Pierce,Ind,0.002947
05059,Collins,Ind,0.002071
05059,Gammon,Ind,0.001354
05059,Hawkins,Grn,0.001274
05059,Blankenship,CST,0.001195
